card_name,image,attack,defence,card_type,level,type
Advanced Crystal Beast Cobalt Eagle,https://uploads1.yugioh.com/card_images/4310/list/A-Cobalt-Eagle.jpg?1386910052,1400,800,Effect Monster,4,Winged Beast
Advanced Crystal Beast Emerald Turtle,https://uploads2.yugioh.com/card_images/4312/list/A-Emerald-turtle.jpg?1386955046,600,2000,Effect Monster,3,Aqua
Advanced Crystal Beast Ruby Carbuncle,https://uploads1.yugioh.com/card_images/4314/list/A-Ruby-Carbuncle.jpg?1386955179,300,300,Effect Monster,3,Fairy
Advanced Crystal Beast Sapphire Pegasus,https://uploads3.yugioh.com/card_images/4316/list/A-Sapphire-Pegasus.jpg?1386955250,1800,1200,Effect Monster,4,Beast
Advanced Crystal Beast Topaz Tiger,https://uploads1.yugioh.com/card_images/4318/list/A-Topaz-Tiger.jpg?1386955326,1600,1000,Effect Monster,4,Beast
Advanced Dark,https://uploads3.yugioh.com/card_images/4646/list/Advanced-Dark.jpg?1392833284,,,Field Spell,,
Advanced Shield,https://uploads2.yugioh.com/card_images/2336/list/1863.jpg?1385103483,1000,0,Armor Monster,4,Machine
Aeris,https://uploads2.yugioh.com/card_images/17/list/Aeris.jpg?1374005193,1800,1400,Normal Monster,4,Fairy
Aero Nail,https://uploads2.yugioh.com/card_images/19/list/Aero-Nail.jpg?1374005234,,,Equip Spell,,
Aetonyx Flame,https://uploads4.yugioh.com/card_images/20/list/Aetonyx-Flame.jpg?1374005284,,,Normal Spell,,
Agent of Hatred,https://uploads4.yugioh.com/card_images/5301/list/Agent_of_Hatred.jpg?1439576215,0,0,Effect Monster,4,Fiend
Agido,https://uploads3.yugioh.com/card_images/1627/list/2754.jpg?1385102045,1500,1300,Normal Monster,4,Fairy
Aid to the Doomed,https://uploads4.yugioh.com/card_images/21/list/Aid-to-the-Doomed.jpg?1374005330,,,Quick-Play Spell,,
Air Armor Ninja,https://uploads3.yugioh.com/card_images/597/list/Kikouninjiya-Air.jpg?1380219400,1400,1400,Effect Monster,,Warrior
Air Fortress Ziggurat,https://uploads3.yugioh.com/card_images/22/list/Air-Fortress-Ziggurat.jpg?1374005411,2500,800,Effect Monster,8,Machine
Airknight Parshath,https://uploads3.yugioh.com/card_images/23/list/Air-Knight-Parshath.jpg?1374005508,1900,1400,Effect Monster,5,Fairy
Akashic Record,https://uploads3.yugioh.com/card_images/4647/list/Akashic-Records.jpg?1392833364,,,Normal Spell,,
Alchemy Beast - Aretos the Tin,https://uploads3.yugioh.com/card_images/4501/list/Alchemy_Beast_-_Eatos_the_Tin.jpg?1387479069,500,500,Effect Monster,3,Rock
Alchemy Beast - Ekenas the Mercury,https://uploads2.yugioh.com/card_images/4500/list/Alchemy_Beast_-_Echeneis_the_Mercury.jpg?1387479028,500,500,Effect Monster,3,Rock
Alchemy Beast - Leon the Lead,https://uploads1.yugioh.com/card_images/4502/list/Alchemy_Beast_-_Leo_the_Lead.jpg?1387479118,500,500,Effect Monster,3,Rock
Alchemy Beast - Moonface the Silver,https://uploads2.yugioh.com/card_images/4504/list/Alchemy_Beast_-_Moonface_the_Silver.jpg?1387479199,500,500,Effect Monster,3,Rock
Alchemy Beast - Ouroboros the Bronze,https://uploads3.yugioh.com/card_images/4505/list/Alchemy_Beast_-_Ouroboros_the_Bronze.jpg?1387479259,500,500,Effect Monster,3,Rock
Alchemy Beast - Salamandra the Steel,https://uploads1.yugioh.com/card_images/4503/list/Alchemy_Beast_-_Salamandra_the_Steel.jpg?1387479152,500,500,Effect Monster,3,Rock
Alchemy Cycle,https://uploads3.yugioh.com/card_images/4648/list/Alchemy-Cycle.jpg?1392833427,,,Counter Trap,,
Alert,https://uploads3.yugioh.com/card_images/4649/list/Alert.jpg?1392833498,,,Normal Trap,,
Alice the Wandering Doll,https://uploads2.yugioh.com/card_images/4557/list/Alice-the-Wandering-Doll.jpg?1389374617,300,1000,Effect Monster,3,Spellcaster
Allegro Toile,https://uploads2.yugioh.com/card_images/1239/list/1304.jpg?1385099325,,,Quick-Play Spell,,
Alligator's Sword,https://uploads1.yugioh.com/card_images/1151/list/1081.jpg?1385099148,1500,1200,Normal Monster,4,Beast
Alligator's Sword Dragon,https://uploads3.yugioh.com/card_images/24/list/Alligator's-Sword-Dragon.jpg?1374005581,1700,1500,Fusion Monster/Effect Monster,5,Dragon
Ally of Justice Clausolas,https://uploads3.yugioh.com/card_images/4650/list/Ally-of-Justice-Clausolas.jpg?1392833547,2300,1200,Normal Monster,6,Machine
Ally of Justice Cosmic Gateway,https://uploads4.yugioh.com/card_images/2616/list/3753.jpg?1385126656,2400,1200,Effect Monster,8,Machine
Ally of Justice Garadholg,https://uploads1.yugioh.com/card_images/4651/list/Ally-of-Justice-Garadholg.jpg?1392833682,1600,400,Effect Monster,4,Machine
Ally of Justice Nullfier,https://uploads2.yugioh.com/card_images/2838/list/3756.jpg?1385127075,1600,1200,Effect Monster,4,Machine
Ally of Justice Tractor,https://uploads1.yugioh.com/card_images/4652/list/Ally-of-Justice-Tractor.jpg?1392833734,0,0,Effect Monster,1,Machine
Ally Salvo,https://uploads4.yugioh.com/card_images/4653/list/Ally-Salvo.jpg?1392833784,400,300,Effect Monster,2,Machine
Alpha The Magnet Warrior,https://uploads1.yugioh.com/card_images/2013/list/2143.jpg?1385102829,1400,1700,Normal Monster,4,Rock
Altar of Mist,https://uploads4.yugioh.com/card_images/25/list/Altar-of-Mist.jpg?1374005628,,,Normal Spell,,
Altar of Restoration,https://uploads2.yugioh.com/card_images/26/list/Altar-of-Restoration.jpg?1374005681,,,Normal Spell,,
Altar of the Bound Deity,https://uploads3.yugioh.com/card_images/3892/list/4864.jpg?1385135306,,,Continuous Trap,,
Amarylease,https://uploads1.yugioh.com/card_images/910/list/Amarylease.jpg?1382387961,100,200,Effect Monster,,Plant
Amazon Chain Master,https://uploads2.yugioh.com/card_images/27/list/Amazoness-Chain-Master.jpg?1374005815,1500,1300,Effect Monster,4,Warrior
Amazon Fighter,https://uploads2.yugioh.com/card_images/4656/list/Amazoness-Fighter.jpg?1392835271,1500,1300,Normal Monster,4,Warrior
Amazoness Archers,https://uploads2.yugioh.com/card_images/1452/list/1809.jpg?1385101697,,,Normal Trap,,
Amazoness Arena,https://uploads1.yugioh.com/card_images/5302/list/Amazoness_Arena.jpg?1439576301,,,Field Spell,,
Amazoness Blowpiper,https://uploads3.yugioh.com/card_images/4654/list/Amazoness-Blowpiper_FL.jpg?1392833959,800,1500,Effect Monster,3,Warrior
Amazoness Call,https://uploads4.yugioh.com/card_images/5303/list/Amazoness_Call.jpg?1439576514,,,Normal Spell,,
Amazoness Charm,https://uploads3.yugioh.com/card_images/4655/list/Amazoness-Charm_FL.jpg?1392834858,,,Normal Spell,,
Amazoness Paladin,https://uploads1.yugioh.com/card_images/1573/list/2360.jpg?1385101939,1700,300,Effect Monster,4,Warrior
Amazoness Spellcaster,https://uploads4.yugioh.com/card_images/1413/list/2117.jpg?1385101621,,,Normal Spell,,
Amazoness Swords Woman,https://uploads2.yugioh.com/card_images/4657/list/Amazoness-Swords-Woman_FL.jpg?1392835346,1500,1600,Effect Monster,4,Warrior
Amazoness Tiger,https://uploads4.yugioh.com/card_images/2023/list/2358.jpg?1385102849,1100,1500,Effect Monster,4,Beast
Amazoness Trainer,https://uploads2.yugioh.com/card_images/5304/list/Amazoness_Trainer.jpg?1439576612,,,Quick-Play Spell,,
Amber Crystal Circle,https://uploads3.yugioh.com/card_images/5305/list/Amber_Crystal_Circle.jpg?1439576673,,,Normal Trap,,
Amber Pitfall,https://uploads3.yugioh.com/card_images/5306/list/Amber_Pitfall.jpg?1439576726,,,Continuous Trap,,
Ambulance Rescueroid,https://uploads4.yugioh.com/card_images/4491/list/Ambulance-Rescueroid_FL.jpg?1387057689,2300,1800,Fusion Monster/Effect Monster,6,Machine
Ambulanceroid,https://uploads3.yugioh.com/card_images/3051/list/3732.jpg?1385127478,300,1200,Effect Monster,3,Machine
Ambush Shield,https://uploads1.yugioh.com/card_images/1578/list/1771.jpg?1385101948,,,Normal Trap,,
Amorphous Barrier,https://uploads3.yugioh.com/card_images/4659/list/Amorphous-Barrier-%28Temp%29.jpg?1392835467,,,Counter Trap,,
Amphibian Angel - Mifrog,https://uploads2.yugioh.com/card_images/4560/list/Amphibian-Angel-Mifrog_FL.jpg?1389808882,1400,800,Effect Monster,5,Aqua
Amphibian Beast,https://uploads1.yugioh.com/card_images/29/list/Amphibian-Beast.jpg?1374095880,2400,2000,Normal Monster,6,Fish
Amplifier,https://uploads3.yugioh.com/card_images/970/list/088.jpg?1382473145,,,Equip Spell,,
Ancestor Bird,https://uploads4.yugioh.com/card_images/3382/list/5820.jpg?1385134257,0,0,Effect Monster,1,Winged Beast
Anchor Bind,https://uploads2.yugioh.com/card_images/4660/list/Anchor-Bind.jpg?1392835516,,,Normal Spell,,
Ancient Brain,https://uploads3.yugioh.com/card_images/4217/list/4149.jpg?1385126833,1000,700,Normal Monster,3,Fiend
Ancient City,https://uploads3.yugioh.com/card_images/1535/list/2040.jpg?1385101864,,,Field Spell,,
Ancient City - Rainbow Ruins,https://uploads3.yugioh.com/card_images/5307/list/Ancient_City_-_Rainbow_Ruins.jpg?1439576808,,,Field Spell,,
Ancient Dragon,https://uploads1.yugioh.com/card_images/2658/list/3439.jpg?1385126733,2800,2100,Effect Monster,8,Dragon
Ancient Elf,https://uploads4.yugioh.com/card_images/31/list/Ancient-Elf.jpg?1374096046,1450,1200,Normal Monster,4,Spellcaster
Ancient Fairy Dragon,https://uploads4.yugioh.com/card_images/979/list/%E3%82%A8%E3%83%B3%E3%82%B7%E3%82%A7%E3%83%B3%E3%83%88%E3%83%BBF%E3%83%BB-D%28_19%E7%94%A8%29.jpg?1383087518,2100,3000,Synchro Monster/Effect Monster,7,Dragon
Ancient Forest,https://uploads2.yugioh.com/card_images/4008/list/5002.jpg?1385135542,,,Field Spell,,
Ancient Gate,https://uploads3.yugioh.com/card_images/1392/list/2042.jpg?1385101580,,,Normal Spell,,
Ancient Gear,https://uploads2.yugioh.com/card_images/1165/list/1091.jpg?1385099175,100,800,Effect Monster,2,Machine
Ancient Gear Beast,https://uploads4.yugioh.com/card_images/2452/list/527.jpg?1385098580,2000,2000,Effect Monster,6,Machine
Ancient Gear Castle,https://uploads1.yugioh.com/card_images/2585/list/456.jpg?1385098861,,,Continuous Spell,,
Ancient Gear Drill,https://uploads4.yugioh.com/card_images/1170/list/1094.jpg?1385099186,,,Normal Spell,,
Ancient Gear Engineer,https://uploads4.yugioh.com/card_images/2529/list/331.jpg?1385098739,1500,1500,Effect Monster,5,Machine
Ancient Gear Explosive,https://uploads1.yugioh.com/card_images/2511/list/329.jpg?1385098701,,,Normal Spell,,
Ancient Gear Factory,https://uploads4.yugioh.com/card_images/1168/list/1093.jpg?1385099182,,,Normal Spell,,
Ancient Gear Fist,https://uploads3.yugioh.com/card_images/2484/list/328.jpg?1385098647,,,Normal Spell,,
Ancient Gear Golem,https://uploads2.yugioh.com/card_images/1171/list/1095.jpg?1385099188,3000,3000,Effect Monster,8,Machine
Ancient Gear Soldier,https://uploads4.yugioh.com/card_images/1166/list/1092.jpg?1385099177,1300,1300,Effect Monster,4,Machine
Ancient Gear Statue,https://uploads3.yugioh.com/card_images/4113/list/5927.jpg?1385135754,500,800,Effect Monster,2,Machine
Ancient Gear Tank,https://uploads1.yugioh.com/card_images/2430/list/330.jpg?1385098531,,,Equip Spell,,
Ancient Giant,https://uploads1.yugioh.com/card_images/2876/list/3444.jpg?1385127148,2200,1100,Effect Monster,5,Rock
Ancient Key,https://uploads2.yugioh.com/card_images/1981/list/2038.jpg?1385102764,,,Continuous Spell,,
Ancient Lamp,https://uploads4.yugioh.com/card_images/2638/list/4659.jpg?1385126697,900,1400,Effect Monster,3,Spellcaster
Ancient Sunshine,https://uploads1.yugioh.com/card_images/4661/list/Ancient-Sunshine.jpg?1392835563,,,Normal Trap,,
Ancient Tome,https://uploads2.yugioh.com/card_images/4662/list/Ancient-Tome.jpg?1392835615,,,Continuous Spell,,
Angel Blast,https://uploads3.yugioh.com/card_images/5308/list/Angel_Blast.jpg?1439576873,,,Normal Trap,,
Animal Trail,https://uploads2.yugioh.com/card_images/4665/list/Animal-Trail_FL.jpg?1393434704,,,Normal Trap,,
Anti Emptiness,https://uploads1.yugioh.com/card_images/5309/list/Anti_Emptiness.jpg?1439576938,,,Normal Trap,,
Anti-Magic Arrows,https://uploads4.yugioh.com/card_images/2717/list/4612.jpg?1385126845,,,Normal Spell,,
Antidote Nurse,https://uploads1.yugioh.com/card_images/4247/list/antidote-nurse.jpg?1386797724,1800,1200,Xyz Monster/Effect Monster,,Machine
Antikythira Gear,https://uploads2.yugioh.com/card_images/755/list/Antikythiron-gear.jpg?1380294997,,,Normal Trap/Trap,,
Apple of Enlightenment,https://uploads1.yugioh.com/card_images/1442/list/1789.jpg?1385101678,,,Normal Trap,,
Apprentice Knight,https://uploads1.yugioh.com/card_images/4666/list/Apprentice-Knight.jpg?1393434897,1000,1000,Normal Monster,2,Warrior
Aqua Armor Ninja,https://uploads4.yugioh.com/card_images/594/list/Aqua-Armor-Ninja.jpg?1380219240,800,1600,Effect Monster,,Warrior
Aqua Dragon,https://uploads2.yugioh.com/card_images/4667/list/Aqua-Dragon-YO_0442.jpg?1393434952,2250,1900,Fusion Monster,6,Sea Serpent
Aqua Gate,https://uploads1.yugioh.com/card_images/5104/list/Aqua-Gate.jpg?1409242996,,,Field Spell,,
Aqua Jet,https://uploads3.yugioh.com/card_images/1280/list/692.jpg?1385099408,,,Normal Spell/Spell,,
Aqua Madoor,https://uploads3.yugioh.com/card_images/32/list/Aqua-Madoor.jpg?1374096097,1200,2000,Normal Monster,4,Spellcaster
Aqua Mirage,https://uploads3.yugioh.com/card_images/5105/list/Aqua-Mirage.jpg?1409243033,,,Equip Spell,,
Aqua Spirit,https://uploads3.yugioh.com/card_images/1326/list/1331.jpg?1385101449,1600,1200,Effect Monster,4,Aqua
Arcana Force EX - The Light Ruler,https://uploads1.yugioh.com/card_images/4388/list/EX-THE-LIGHT-RULER%28perfect%29.jpg?1386973277,4000,4000,Effect Monster,10,Fairy
Arcana Force I - The Magician,https://uploads3.yugioh.com/card_images/4298/list/1-THE-MAGICIAN.jpg?1386909283,1100,1100,Effect Monster,4,Fairy
Arcana Force III - The Empress,https://uploads4.yugioh.com/card_images/4559/list/3-THE-EMPRESS.jpg?1389808729,1300,1300,Effect Monster,4,Fairy
Arcana Force IV - The Emperor,https://uploads2.yugioh.com/card_images/4299/list/4-THE-EMPEROR.jpg?1386909329,1400,1400,Effect Monster,4,Fairy
Arcana Force VI - The Lovers,https://uploads3.yugioh.com/card_images/4300/list/4-THE-LOVERS.jpg?1386909433,1600,1600,Effect Monster,4,Fairy
Arcana Force VII - The Chariot,https://uploads3.yugioh.com/card_images/4301/list/7-THE-CHARIOT.jpg?1386909531,1700,1700,Effect Monster,4,Fairy
Arcana Force VIII - The Strength,https://uploads3.yugioh.com/card_images/4302/list/8-STRENGTH.jpg?1386909567,1800,1800,Effect Monster,5,Fairy
Arcana Force XII - The Hangman,https://uploads4.yugioh.com/card_images/4467/list/The-Hanged-Man-XII_FL.jpg?1386977551,2200,2200,Effect Monster,6,Fairy
Arcana Force XIV - Temperance,https://uploads2.yugioh.com/card_images/4303/list/14-TEMPERANCE.jpg?1386909646,2400,2400,Effect Monster,6,Fairy
Arcana Force XV - The Fiend,https://uploads3.yugioh.com/card_images/4304/list/15-THE-DEVIL.jpg?1386909685,2500,2500,Effect Monster,7,Fairy
Arcana Force XVIII - The Moon,https://uploads1.yugioh.com/card_images/4305/list/18-THE-MOON.jpg?1386909719,2800,2800,Effect Monster,7,Fairy
Arcana Force XXI - The World,https://uploads2.yugioh.com/card_images/4306/list/21-THE-WORLD.jpg?1386909758,3100,3100,Effect Monster,8,Fairy
Arcana Knight Joker,https://uploads2.yugioh.com/card_images/4668/list/Arcana-knight-joker.jpg?1393436067,3800,2500,Fusion Monster/Effect Monster,,Warrior
Arcanatic Doomscythe,https://uploads4.yugioh.com/card_images/5310/list/Arcanatic_Doomscythe.jpg?1439577063,,,Normal Spell,,
Archeonys,https://uploads4.yugioh.com/card_images/4669/list/Archeonys_FL.jpg?1393436133,300,1300,Effect Monster,3,Winged Beast
Archfiend General,https://uploads4.yugioh.com/card_images/3680/list/5396.jpg?1385134862,2100,800,Effect Monster,4,Fiend
Archfiend Interceptor,https://uploads2.yugioh.com/card_images/4670/list/archfiend_interceptor.jpg?1393436275,1400,1600,Effect Monster,4,Fiend
Archfiend Soldier,https://uploads3.yugioh.com/card_images/2079/list/2752.jpg?1385102961,1900,1500,Normal Monster,4,Fiend
Archlord Zerato,https://uploads1.yugioh.com/card_images/947/list/042.jpg?1382472052,2800,2300,Effect Monster,8,Fairy
Arduous Decision,https://uploads1.yugioh.com/card_images/4671/list/Arduous-Decision.jpg?1393436408,,,Normal Spell,,
Aria From Beyond,https://uploads3.yugioh.com/card_images/4672/list/Aria-from-Beyond_FL.jpg?1393436462,,,Normal Spell,,
Aria the Melodious Diva,https://uploads1.yugioh.com/card_images/5518/list/Aria-the-Melodious-Diva.png?1455809561,1600,1200,Effect Monster,4,Fairy
Armaill,https://uploads1.yugioh.com/card_images/34/list/Armaill.jpg?1374096147,700,1300,Normal Monster,3,Warrior
Armed Changer,https://uploads4.yugioh.com/card_images/4673/list/Armed-Changer.jpg?1393436529,,,Equip Spell,,
Armed Dragon LV10,https://uploads4.yugioh.com/card_images/4321/list/Armed-Dragon-LV10_FL.jpg?1386955419,3000,2000,Effect Monster,10,Dragon
Armed Dragon LV3,https://uploads1.yugioh.com/card_images/1932/list/2975.jpg?1385102664,1200,900,Effect Monster,3,Dragon
Armed Dragon LV5,https://uploads1.yugioh.com/card_images/1781/list/2972.jpg?1385102357,2400,1700,Effect Monster,5,Dragon
Armed Dragon LV7,https://uploads3.yugioh.com/card_images/1112/list/1239.jpg?1385099069,2800,1000,Effect Monster,7,Dragon
Armed Ninja,https://uploads2.yugioh.com/card_images/4674/list/Armed-Ninja-YO_0469.jpg?1393436595,300,300,Effect Monster,1,Warrior
Armed Protector Dragon,https://uploads2.yugioh.com/card_images/5106/list/Armed-Protector-Dragon.jpg?1409243082,2000,2800,Effect Monster,,Dragon
Armed Samurai - Ben Kei,https://uploads4.yugioh.com/card_images/4675/list/Armed-Samurai-Ben-Kei_FL.jpg?1393436651,500,800,Effect Monster,,Warrior
Armor Breaker,https://uploads1.yugioh.com/card_images/4676/list/Armor-Breaker.jpg?1393436705,800,800,Union Monster,3,Warrior
Armor Ninjitsu Art of Alchemy,https://uploads1.yugioh.com/card_images/595/list/Kikouninpou-gold-conversion.jpg?1380219323,,,Normal Spell/Spell,,
Armor Ninjitsu Art of Freezing,https://uploads1.yugioh.com/card_images/608/list/Armor-Ninjitsu-Art-of-Freezing.jpg?1380219961,,,Continuous Trap,,
Armor Ninjitsu Art of Revival,https://uploads3.yugioh.com/card_images/592/list/Kikouninpou-undet-return.jpg?1380219102,,,Normal Spell/Spell,,
Armor Ninjitsu Art of Rust Mist,https://uploads3.yugioh.com/card_images/593/list/Kikouninpou-last-mist.jpg?1380219201,,,Continuous Trap,,
Armor Ninjitsu Art of Teleportation,https://uploads3.yugioh.com/card_images/607/list/Armored-Ninjitsu-Art_Quick-Teleport.jpg?1380219936,,,Normal Spell/Spell,,
Armored Back,https://uploads4.yugioh.com/card_images/682/list/Armord-back.jpg?1380227681,,,Normal Trap/Trap,,
Armored Centipede,https://uploads3.yugioh.com/card_images/35/list/Armored-Centipede.jpg?1374096219,1600,1600,Effect Monster,5,Insect
Armored Gravitation,https://uploads1.yugioh.com/card_images/36/list/Armored-Gravitation.jpg?1374096264,,,Normal Spell,,
Armored Lizard,https://uploads1.yugioh.com/card_images/1896/list/2261.jpg?1385102591,1500,1200,Normal Monster,4,Reptile
Armored White Bear,https://uploads4.yugioh.com/card_images/5311/list/Armored_White_Bear.jpg?1439577160,1800,1400,Effect Monster,4,Beast
Armored Xyz,https://uploads1.yugioh.com/card_images/529/list/Armored-Xyz.jpg?1380145108,,,Normal Spell/Spell,,
Armored Zombie,https://uploads3.yugioh.com/card_images/4677/list/Armored-Zombie-FL.jpg?1393436766,1500,0,Normal Monster,3,Zombie
Armory Arm,https://uploads1.yugioh.com/card_images/3206/list/3780.jpg?1385127774,1800,1200,Synchro Monster/Effect Monster,4,Machine
Ascension Spiral,https://uploads2.yugioh.com/card_images/5108/list/Ascension-Spiral.jpg?1409243793,,,Trap,,
Ashoka Pillar,https://uploads4.yugioh.com/card_images/3987/list/5534.jpg?1385135498,0,2200,Effect Monster,3,Rock
Asleep at the Switch,https://uploads4.yugioh.com/card_images/1101/list/1047.jpg?1385099046,,,Counter Trap,,
Assault Armor,https://uploads4.yugioh.com/card_images/5312/list/Assault_Armor.jpg?1439577215,,,Equip Spell,,
Assault Cannon Beetle,https://uploads4.yugioh.com/card_images/4556/list/Assault-Cannon-Beatle.jpg?1389374570,2400,2800,Fusion Monster/Effect Monster,8,Machine
Assault Dog,https://uploads1.yugioh.com/card_images/4151/list/5537.jpg?1385135831,1200,800,Effect Monster,4,Beast
Assault Spirits,https://uploads3.yugioh.com/card_images/3380/list/5817.jpg?1385134254,,,Continuous Trap,,
Assault Wheel,https://uploads4.yugioh.com/card_images/4678/list/assault_wheel.jpg?1393436828,2300,0,Effect Monster,4,Machine
Asura Priest,https://uploads1.yugioh.com/card_images/38/list/Asura-Priest.jpg?1374096396,1700,1200,Spirit Monster,4,Fairy
Attachment Dragon,https://uploads2.yugioh.com/card_images/4679/list/Attachment-Dragon_FL.jpg?1393436891,100,100,Effect Monster,1,Dragon
Attack and Receive,https://uploads4.yugioh.com/card_images/4078/list/4886.jpg?1385135684,,,Normal Trap,,
Attack Gainer,https://uploads2.yugioh.com/card_images/3691/list/5818.jpg?1385134885,0,0,Tuner Monster,1,Warrior
Attack Gimmick,https://uploads3.yugioh.com/card_images/804/list/Attack-gimmick.jpg?1380829691,,,Normal Spell/Spell,,
Attack Guidance Armor,https://uploads2.yugioh.com/card_images/40/list/Attack-Guidance-Armor.jpg?1374096463,,,Normal Trap,,
Attack Guidance Barrier,https://uploads4.yugioh.com/card_images/42/list/Attack-Guidance-Barrier.jpg?1374096490,,,Normal Trap,,
Attack Pheromones,https://uploads1.yugioh.com/card_images/5313/list/Attack_Pheromones.jpg?1439577300,,,Equip Spell,,
Attack Reflector Unit,https://uploads3.yugioh.com/card_images/2499/list/453.jpg?1385098677,,,Normal Trap,,
Attraffic Control,https://uploads2.yugioh.com/card_images/509/list/Attack-Regulation.jpg?1380143122,,,Continuous Spell,,
Attrition,https://uploads1.yugioh.com/card_images/4680/list/Attrition-FL.jpg?1393436972,,,Continuous Spell,,
Aura Armor,https://uploads3.yugioh.com/card_images/44/list/Aura-Armor.jpg?1374096536,,,Normal Trap,,
Aurora Draw,https://uploads2.yugioh.com/card_images/4123/list/5493.jpg?1385135775,,,Normal Spell,,
Aurora Wing,https://uploads1.yugioh.com/card_images/5109/list/Aurora-Wing.jpg?1410971991,1200,1600,Effect Monster,,Winged Beast
Automatic Gearspring Machine,https://uploads3.yugioh.com/card_images/4590/list/Automatic-Gearspring-Machine.jpg?1390511784,,,Continuous Spell,,
Avalanche,https://uploads1.yugioh.com/card_images/554/list/Avalanche.jpg?1380209238,,,Continuous Trap,,
Awakening from Beyond,https://uploads4.yugioh.com/card_images/2133/list/2904.jpg?1385103070,,,Normal Spell,,
Axe of Despair,https://uploads2.yugioh.com/card_images/1916/list/1335.jpg?1385102631,,,Equip Spell,,
Axe Raider,https://uploads1.yugioh.com/card_images/2326/list/2268.jpg?1385103464,1700,1150,Normal Monster,4,Warrior
Aye-Iron,https://uploads4.yugioh.com/card_images/629/list/Ayeiron.jpg?1380221749,1600,1800,Effect Monster,,Machine
Ayers Rock Sunrise,https://uploads3.yugioh.com/card_images/4383/list/earzrock-sunrize.jpg?1386973099,,,Normal Spell,,
B. Skull Dragon,https://uploads4.yugioh.com/card_images/1507/list/2794.jpg?1385101805,3200,2500,Fusion Monster,9,Dragon
